profile_url,profile_name,media_type,post_url,caption,comments_count,like_count,post_timestamp
https://www.instagram.com/kfz_reifenservice_molfsee_/,kfz_reifenservice_molfsee_,IMAGE,https://www.instagram.com/p/DEN5fqHAxfO/,Wir wünschen Euch einen guten Rutsch!🎊🎆🎈#molfsee #kiel #Gesundheit #Frieden #Glück #2025,0,20,2024-12-30T21:12:48+0000
https://www.instagram.com/kfz_reifenservice_molfsee_/,kfz_reifenservice_molfsee_,IMAGE,https://www.instagram.com/p/DD7m3BdgN3O/,"Liebe Kunden/liebe Kundinnen,

das Jahresende und das Weihnachtsfest stehen direkt vor der Tür. Wir möchten nun einmal innehalten und uns bei Ihnen für alles bedanken. Vielen Dank für Ihre Treue, das entgegengebrachte Vertrauen und die gute Zusammenarbeit. Wir werden auch im neuen Jahr unser Bestes tun, damit Sie zufrieden sind!
Bis dahin wünschen wir Ihnen im Namen des ganzen Teams eine erholsame Weihnachtszeit und einen schönen Start ins neue Jahr.Wir gönnen uns und unseren Mitarbeitern ab dem 23.12.2024 eine kleine Auszeit. Ab den 06.01.2025 sind wir wieder für Sie da.

Mit freundlichsten Weihnachtsgrüßen

Ihr Kfz&Reifenservice Molfsee Team🎄🎅🏻🚘 
#molfsee #gesundheit #freude #glück #Kfz&Reifenservice Molfsee #team #2025 #Frohe Weihnachten #Guten Rutsch #Frieden",0,23,2024-12-23T18:43:38+0000
https://www.instagram.com/kfz_reifenservice_molfsee_/,kfz_reifenservice_molfsee_,IMAGE,https://www.instagram.com/p/DA4AuBVgzl4/,"Ab wann Sommer­reifen, wann Winter­reifen?

Zweimal jährlich heißt es Reifen wechseln für Autofahrer. Doch wann ist der richtige Zeitpunkt für den Radwechsel? Hier kommt die Faustregel „von O bis O“ ins Spiel. Von Ostern bis Oktober fährt man am besten mit Sommerreifen, von Oktober bis Ostern sollte man zu Winterreifen wechseln. Wer sich beim Reifenwechsel für sein Auto an diese Regel hält, macht meist nichts falsch. Manchmal machen es Schwankungen bei den Temperatur- und Witterungsverhältnissen jedoch notwendig, dass man die Winterreifen doch früher aufziehen muss. Viele Hersteller empfehlen daher den Radwechsel von Sommer- auf Winterreifen, wenn die Temperaturen unter 7 Grad Celsius fallen.",0,29,2024-10-08T19:38:27+0000
https://www.instagram.com/kfz_reifenservice_molfsee_/,kfz_reifenservice_molfsee_,IMAGE,https://www.instagram.com/p/DA35-DyArqh/,"Neue Änderung: Alpine - Symbol wird Pflicht
Ab dem 1. Oktober 2024 treten strengere Regelungen für Winterreifen in Kraft. Ab diesem Datum werden ausschließlich Reifen als wintertauglich anerkannt, die das „Alpine-Symbol“ – eine Schneeflocke vor einem Berg – tragen.

Dies gilt auch für Ganzjahresreifen. Die bisherige „M+S“-Kennzeichnung auf den Reifen ist dann nicht mehr ausreichend, um bei winterlichen Straßenbedingungen sicher unterwegs zu sein. Daher solltest Du rechtzeitig überprüfen, ob Deine Reifen den neuen Anforderungen entsprechen, um sicher und gesetzeskonform durch den Winter zu fahren.",0,24,2024-10-08T18:39:28+0000
https://www.instagram.com/kfz_reifenservice_molfsee_/,kfz_reifenservice_molfsee_,IMAGE,https://www.instagram.com/p/C5JvW6GIy0C/,Team Kfz&Reifenservice Molfsee wünscht frohe Ostern!#ostern#family #Molfsee#osterhase #Home,1,39,2024-03-30T20:41:55+0000
https://www.instagram.com/kfz_reifenservice_molfsee_/,kfz_reifenservice_molfsee_,IMAGE,https://www.instagram.com/p/C3ySCfzozBo/,"Wir sind ein Familienbetrieb mit Perspektive!
Sie suchen einen vielseitigen und interessanten Job?Dann bieten wir Ihnen genau das Richtige!
Unser Unternehmen Kfz &Reifenservice Molfsee GmbH bietet einen günstigen und zuverlässigen Service bei allen Automarken. Wir sind die Spezialisten (m,w,d) rund um die Themen Inspektion,Neuabnahme und Unfallreparatur.
Zur Unterstützung unseres Teams bei allen Kfz-Arbeiten suchen wir zum nächstmöglichen Zeitpunkt eine/n Kfz-Mechaniker/in -Personenkraftwagentechnik in Vollzeit.
Erwartet werden eine abgeschlossene Ausbildung,ein Pkw Führerschein Kl.3 bzw Be,handwerkliches Geschick und Teamgeist. Berufserfahrung ist durchaus von Vorteil.
Wir zahlen überdurchschnittlich gut,je nach Qualifikation und Berufserfahrung und sind ein tolles Team!
Interesse? Wir freuen uns auf Ihre Bewerbung!
Bitte melden Sie sich schriftlich oder telefonisch unter 04347/8485 bei Herrn Nelz.",1,36,2024-02-25T21:31:48+0000
https://www.instagram.com/kfz_reifenservice_molfsee_/,kfz_reifenservice_molfsee_,VIDEO,https://www.instagram.com/reel/C1IPnBEAiAR/,"Liebe Kunden, 

wir bedanken uns sehr für Ihr Vertrauen in diesem Jahr und freuen uns gemeinsam mit Ihnen ins Jahr 2024 zu starten. 

Wir gönnen unseren fleißigen Mitarbeitern und uns eine kleine Pause und sind ab dem 02.Januar 2024 wieder für Sie da! 

Im Namen des gesamten Teams wünschen wir Ihnen eine besinnliche, erholsame Weihnachtszeit und einen guten Rutsch ins neue Jahr! Bleiben Sie gesund! 

Mit freundlichsten Weihnachtsgrüßen 

Ihr Kfz-Reifenservice Molfsee Team 🚙🎅🏻🎄

#froheweihnachten #2023 #danke #gutenrutschinsneuejahr #gesundheit #molfsee #kiel #kfzundreifenservicemolfsee",0,36,2023-12-21T20:39:49+0000
https://www.instagram.com/kfz_reifenservice_molfsee_/,kfz_reifenservice_molfsee_,IMAGE,https://www.instagram.com/p/C00yIYwgQuu/,"Wir sind ein Familienbetrieb mit Perspektive!
Sie suchen einen vielseitigen und interessanten Job?Dann bieten wir Ihnen genau das Richitge!
Unser Unternehmen,Kfz &Reifenservice Molfsee GmbH bietet günstigen und zuverlässigen Service bei allen Automarken.Wir sind die Spezialisten (m,w,d) rund um Thema Inspektion,Neuabnahme und Unfallreparatur.
Zur Unterstützung unseres Teams bei allen Kfz-Arbeiten suchen wir zum nächstmöglichen Zeitpunkt eine/n
Kfz-Mechaniker/in -Personenkraftwagentechnik in Vollzeit.
Erwartet werden eine abgeschlossene Ausbildung,ein Pkw Führerschein Kl.3 bzw Be handwerkliches Geschick und Teamgeist.Berufserfahrung ist durchaus von Vorteil.
Wir zahlen überdurchschnittlich gut,je nach Qualifikation und Berufserfahrung und sind ein tolles Team!
Interesse?Dann freuen wir uns auf Ihre Bewerbung!
Bitte melden sie sich schriftlich,telefonisch,unter 04347/8485  oder persönlich bei Herrn Nelz.",0,28,2023-12-14T07:16:31+0000
https://www.instagram.com/kfz_reifenservice_molfsee_/,kfz_reifenservice_molfsee_,IMAGE,https://www.instagram.com/p/CsYjJn7IDy2/,Wir wünschen allen Vätern einen schönen Vatertag🎊Wir gönnen unserem Team und uns ein langes Wochenende und sind Montag wie gewohnt wieder für Sie da! 🚙,0,36,2023-05-18T11:55:44+0000
https://www.instagram.com/kfz_reifenservice_molfsee_/,kfz_reifenservice_molfsee_,IMAGE,https://www.instagram.com/p/Cm1F5GbDb5Z/,Wir wünschen Euch einen guten Rutsch!🎊🎆🎈,1,39,2022-12-31T10:49:41+0000
